Heat Sink Temp,Block Temp,Iset,Imeasure
31.4735,94.9595,2.0041,1.7622
31.5272,95.0057,1.3906,1.6923
31.4735,95.0005,1.4702,1.738
31.5807,95.011,1.3956,1.5365
31.6342,95.0057,1.3188,1.5741
31.5272,94.9852,1.5917,1.6466
31.4735,95.0005,1.238,2.0442
31.4735,94.9827,1.5848,1.8669
31.6877,94.9903,1.4193,1.9126
31.4735,95.0032,1.1903,1.969
31.4735,94.998,1.3112,2.0173
31.4735,95.0005,1.5295,1.5876
31.6342,95.039,0.7141,1.6547
31.6342,95.011,1.219,2.1382
31.5272,95.0005,1.4069,1.5204
31.6877,94.9928,1.5142,1.4828
31.5807,94.9903,1.4908,1.5902
31.5272,95.0185,1.4071,1.1148
31.6342,94.9877,1.2568,2.0039
31.4198,94.9903,1.588,1.875
31.4735,95.016,1.3379,1.5499
31.6877,95.0005,1.2259,2.0979
31.6877,95.016,1.0981,1.7407
31.4735,94.9955,1.3676,2.0335
31.5807,94.9955,1.401,1.883
31.7411,94.9903,1.631,1.3619
31.6342,95.0005,1.4021,1.4855
31.6342,95.0057,1.1668,1.8992
31.6342,95.0005,1.1848,1.875
31.6877,95.0005,1.2398,1.8454
31.4735,95.0082,1.2836,1.8213
31.5272,94.9903,1.5196,2.3263
31.6877,94.9903,1.511,1.8615
31.7411,95.0005,1.4012,1.8481
31.6342,95.011,1.2921,1.2249
31.6342,95.0005,1.4834,1.4747
31.6877,95.016,1.0709,1.6896
31.5807,95.0005,1.2488,1.8105
31.6342,94.998,1.3162,1.7944
31.6877,95.011,1.1832,1.5768
31.5272,94.9903,1.7199,1.1228
31.6877,95.021,1.1804,1.695
31.6342,94.9903,0.9082,1.8911
31.5272,94.9852,1.47,2.0791
31.6877,94.9955,1.5945,1.8132
31.6877,95.016,1.6426,1.6574
31.7411,95.0032,1.1571,1.6574
31.5807,94.9955,1.3065,1.8669
31.7944,94.9852,1.5549,1.9851
31.5807,95.0005,1.2012,2.0388
31.6342,94.9903,1.5512,1.9582
31.7411,95.0005,1.4091,1.5634
31.7411,95.021,1.1299,1.7729
31.6877,95.0185,1.0878,1.8239
31.7411,95.0005,1.416,1.9233
31.5807,94.9955,1.3778,1.8266
31.6877,95.0005,1.208,1.9421
31.6877,95.0032,1.2014,1.9233
31.6877,95.0082,1.1326,1.6198
31.7944,94.9903,1.4819,1.7783
